,Vx_alpha,Vx_beta,Vx_gamma,Vy_alpha,Vy_beta,Vy_gamma,Vz_alpha,Vz_beta,Vz_gamma,stationarity,noise_type
134,-0.5329368,0.74106854,0.094734274,-0.74522877,-0.49298173,-0.022766503,0.02980402,-0.090598166,0.8235732,0,1
135,0.31553942,0.78741217,0.089921825,-0.69974715,0.32261536,0.017546823,-0.023322923,-0.0877453,0.69012445,1,1
136,-0.578317,-0.49484387,1.0875345e-05,0.49283656,-0.639434,-0.052877605,0.031630192,-0.035915453,0.71377593,0,2
137,-0.34607843,-0.65749604,-0.014925252,0.6571453,-0.49496603,-0.05065462,0.035400584,-0.043737955,0.71718746,1,2
138,-0.14237298,0.83492327,0.094464235,-0.83861846,-0.050393786,0.032646634,0.036039993,-0.08419522,0.71394277,0,0
139,0.34546548,0.6262119,0.040093567,-0.7067894,0.36685833,0.055172212,0.023093075,-0.05462571,0.59897,1,0
140,-0.2524676,0.8572083,0.10506162,-0.85658413,-0.18624946,0.01617248,0.033459477,-0.09196511,0.7878744,0,1
141,0.2882121,0.7364721,0.036141876,-0.8011685,0.30074918,0.062174756,0.03382564,-0.04677919,0.700791,1,1
142,-0.27383596,0.11226841,0.023056475,-0.10023197,-0.23285969,-0.023022244,0.032365985,-0.011833323,0.26532513,0,2
143,-0.21439154,-0.077877544,0.0109821325,0.060552362,-0.3693103,-0.021787059,0.011318176,-0.017920922,0.30476663,1,2
144,-0.496131,0.72233963,0.10650848,-0.7271141,-0.4511084,-0.008003229,0.045368742,-0.09436995,0.75978595,0,0
145,0.056066245,0.6965829,0.038196124,-0.84488505,0.04750801,0.04044653,0.025735078,-0.04190394,0.6249053,1,0
146,-0.52436125,0.74906534,0.092611045,-0.7508566,-0.48954225,-0.00620786,0.043283205,-0.08070876,0.82847065,0,1
147,0.080649294,0.78245753,0.0693011,-0.8742446,0.06803401,0.035451632,0.01849713,-0.07159205,0.7129463,1,1
148,-0.5907709,-0.42010334,-0.006572058,0.41765535,-0.6662071,-0.052983377,0.022296323,-0.049620725,0.68577075,0,2
149,-0.37081575,-0.59407586,0.0042464486,0.59445304,-0.52886516,-0.055105925,0.052120954,-0.034727436,0.67344093,1,2
150,-0.47795826,0.7346192,0.09070642,-0.74225944,-0.42378238,-0.01428503,0.028078625,-0.08238874,0.7584745,0,0
151,-0.50554806,0.69383407,0.072160214,-0.7137715,-0.394419,-0.016513368,0.017131146,-0.06868877,0.7051196,1,0
152,-0.5085005,0.754518,0.0899946,-0.76118606,-0.46229932,-0.013392419,0.03226049,-0.0815652,0.81721145,0,1
153,-0.51114434,0.73701686,0.092003904,-0.75943446,-0.42079464,-0.022581061,0.023880532,-0.091449365,0.7835274,1,1
154,-0.37574494,0.092185415,0.0066712718,-0.095751114,-0.37776512,-0.036723875,0.0006400028,-0.0143722575,0.32388377,0,2
155,-0.26650137,-0.102792636,0.029701436,0.09344597,-0.45085675,-0.026826737,0.035568804,-0.013951259,0.32991764,1,2
156,-0.3909147,0.7794108,0.100240625,-0.7854673,-0.31833637,-0.008722385,0.026185606,-0.09240864,0.7459965,0,0
157,0.6365568,-0.0485185,-0.025942484,-0.04117774,0.68742335,0.053797614,0.02004735,-0.031594917,0.5244266,1,0
158,-0.43919638,0.7936274,0.101686895,-0.79382753,-0.3868732,-0.012172487,0.031869173,-0.093204774,0.80717844,0,1
159,0.7236626,0.021015558,-0.035771683,-0.08765525,0.7569647,0.07416608,0.028858842,-0.06301747,0.6145862,1,1
160,-0.52881396,-0.06102346,0.0074354825,0.062335268,-0.5738165,-0.038465895,0.016659178,-0.027121572,0.46898305,0,2
